location,type,bedrooms,bathrooms,parking,log_area,log_price
El Retiro,Apartamento,4,4.0,0,5.71042701737487,21.488733679085982
Chico Norte,Local,3,2.0,0,5.840641657373398,21.97602880544178
Chapinero,Apartamento,3,5.0,0,5.375278407684165,21.391095209522067
El Chicó,Apartamento,1,2.0,0,4.060443010546419,20.53008524526881
El Plan,Casa,4,3.0,0,5.1647859739235145,20.47480447764791
Santa Fe,Apartamento,1,2.0,0,3.9889840465642745,20.21244021318042
Ciudad Salitre,Apartamento,3,2.0,0,5.6240175061873385,20.43558376449463
El Retiro,Apartamento,3,4.0,0,5.736572297479192,21.556174959881517
Usaquén,Apartamento,4,4.0,0,5.438079308923196,21.31105250184853
El Batán,Apartamento,3,3.0,0,4.8283137373023015,20.049921283682647
Usaquén,Oficina,3,2.0,0,4.962844630259907,21.45250383765071
Usaquén,Apartamento,3,3.0,0,5.220355825078324,20.905587393740365
San Patricio,Apartamento,4,4.0,0,4.836281906951478,20.560746907448635
Los Rosales,Apartamento,3,4.0,0,5.480638923341991,21.31105250184853
Chapinero,Apartamento,1,2.0,0,3.912023005428146,19.96824325266838
Suba,Apartamento,3,2.0,1,4.48863636973214,20.380775527999635
Colinas De Suba,Apartamento,3,3.0,1,4.634728988229636,20.990639839387363
Barrios Unidos,Casa,3,3.0,0,4.787491742782046,20.905587393740365
Usaquén,Casa,3,4.0,0,5.6240175061873385,21.82187812561452
Usaquén,Apartamento,3,5.0,0,5.393627546352362,21.365119723118806
Usaquén,Apartamento,5,1.0,0,4.6913478822291435,20.560746907448635
Santa Barbara,Apartamento,3,2.0,0,4.543294782270004,20.14344734169347
Teusaquillo,Apartamento,2,2.0,0,4.23410650459726,20.17853866150474
Centro Internacional,Apartamento,1,1.0,0,3.4965075614664802,19.67344371244773
El Virrey,Apartamento,1,2.0,0,3.970291913552122,20.394761769974377
El Retiro,Local,3,3.0,0,5.793013608384144,21.886416646752092
Santa Barbara,Casa,4,5.0,0,5.717027701406222,21.045349336115525
Chapinero,Apartamento,1,1.0,0,4.060443010546419,20.293840460518336
Usaquén,Casa,4,4.0,0,5.768320995793772,21.51172319731068
Chico Norte Ii,Oficina,1,2.0,0,4.3694478524670215,20.44882899124465
Chapinero,Apartamento,2,2.0,0,4.290459441148391,20.564270105455954
Usaquén,Apartamento,3,3.0,0,4.663439094112067,20.36659089300768
La Calleja,Apartamento,3,3.0,0,5.0106352940962555,20.671972542558862
El Chicó,Apartamento,1,1.0,0,4.127134385045092,20.125428836190792
Colinas De Suba,Apartamento,3,3.0,1,4.795790545596741,21.156759126655587
El Chicó,Apartamento,3,3.0,0,5.298317366548036,20.94640938826062
Usaquén,Apartamento,1,1.0,0,3.784189633918261,19.996767311939713
Colinas De Suba,Apartamento,1,2.0,0,3.9889840465642745,20.37435496019671
Chapinero,Apartamento,1,2.0,0,4.007333185232471,20.24766738583224
Usaquén,Apartamento,1,2.0,0,4.04305126783455,20.30360377734187
Barrios Unidos,Casa,4,5.0,0,5.703782474656201,21.193269466192145
Ciudad Bolívar,Apartamento,3,1.0,1,4.174387269895637,19.25358986688747
Niza,Apartamento,1,2.0,0,3.8918202981106265,19.78822797054755
Santa Ana,Apartamento,1,1.0,0,3.6109179126442243,19.963978853881923
Kennedy,Apartamento,3,1.0,1,3.9512437185814275,19.008467408854486
Roma,Casa,3,2.0,0,4.867534450455582,19.583831553758046
Barrios Unidos,Local,3,1.0,0,4.0943445622221,19.92475814072864
Portales Del Norte,Casa,5,3.0,0,5.375278407684165,20.36659089300768
Germania,Local,3,2.0,0,4.983606621708336,21.174341456306628
Fontibón,Casa,4,2.0,0,5.056245805348308,19.96824325266838
Barrios Unidos,Casa,8,4.0,0,5.746203190540153,20.985630101413904
Usaquén,Apartamento,1,1.0,0,3.8918202981106265,19.755681810684706
Pasadena ,Oficina,2,2.0,0,4.174387269895637,20.595432465436527
San Patricio,Apartamento,2,2.0,0,5.6240175061873385,20.292482920853956
Barrios Unidos,Casa,4,3.0,0,5.991464547107982,20.905587393740365
Quinta Camacho,Casa,8,3.0,0,5.973809611869261,21.094829393378895
Ciudad Bolívar,Apartamento,3,2.0,1,3.9512437185814275,19.08851011652802
Usaquén,Apartamento,4,5.0,1,5.6240175061873385,21.3755910229861
Kennedy,Apartamento,3,1.0,0,4.276666119016055,19.11382792451231
San Cristobal,Apartamento,3,1.0,0,3.713572066704308,18.560442686327523
Tintala,Casa,5,2.0,0,4.060443010546419,19.25358986688747
Kennedy,Apartamento,3,1.0,1,4.02535169073515,19.008467408854486
Suba,Apartamento,3,2.0,0,5.6240175061873385,19.879295766651882
Madelena,Apartamento,2,1.0,0,3.912023005428146,19.06253463012476
Kennedy,Casa,3,2.0,1,4.787491742782046,19.6146032124248
Bosa,Casa,7,2.0,0,5.950642552587727,20.36659089300768
Tunjuelito,Casa,9,5.0,1,5.697093486505405,20.47480447764791
Kennedy,Casa,8,5.0,0,5.8998973535824915,20.292482920853956
Tunjuelito,Casa,8,4.0,1,5.703782474656201,20.5001222856322
Gran Granada,Casa,5,3.0,1,3.912023005428146,19.96824325266838
Puente Aranda,Casa,10,3.0,1,5.872117789475416,20.36659089300768
Kennedy,Casa,4,5.0,0,4.890349128221754,19.755681810684706
Ciudad Bolívar,Casa,5,3.0,0,3.8501476017100584,19.62964108978934
Usaquén,Apartamento,3,4.0,1,4.653960350157523,20.560746907448635
Suba,Casa,3,3.0,1,5.6240175061873385,20.70306312962889
Kennedy,Casa,8,6.0,1,5.634789603169249,20.337603356134426
Kennedy,Casa,3,2.0,0,5.075173815233827,19.806975105072254
Patio Bonito,Casa,5,3.0,0,4.969813299576001,20.584003769612902
Bosa,Casa,8,4.0,1,5.641907070938114,19.98929666186621
Bosa,Casa,21,10.0,1,6.29156913955832,20.72326583694641
Kennedy,Casa,7,5.0,1,5.3471075307174685,20.030118656386467
Suba,Casa,9,4.0,0,5.662960480135946,20.21244021318042
Bosa,Casa,12,7.0,1,5.662960480135946,19.98929666186621
Kennedy,Casa,13,5.0,1,5.780743515792329,20.030118656386467
Kennedy,Casa,10,3.0,1,5.91350300563827,20.818576016750736
Patio Bonito,Casa,6,3.0,1,5.393627546352362,20.661390433228323
Kennedy,Casa,11,8.0,1,5.834810737062605,20.030118656386467
Bosa,Casa,10,4.0,0,5.3471075307174685,19.92475814072864
Kennedy,Casa,9,4.0,0,5.564520407322694,20.069339369539748
Kennedy,Casa,5,3.0,1,5.857933154483459,20.43558376449463
Kennedy,Casa,11,5.0,1,5.69035945432406,20.560746907448635
Kennedy,Casa,8,4.0,1,5.517452896464707,20.292482920853956
Rafael Uribe Uribe,Casa,8,3.0,0,4.330733340286331,20.36659089300768
Puente Aranda,Casa,6,3.0,1,5.10594547390058,20.18712240519613
San Cristobal,Casa,4,2.0,0,5.560681631015528,19.33697147582652
Kennedy,Casa,10,5.0,1,5.966146739123692,20.560746907448635
