price,location,type,bedrooms,bathrooms,area,parking
$ 600.000.000,"Pasadena , Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",Oficina en Venta en Pasadena,,,49 m²,Parqueadero
$ 490.000.000,"Normandia, Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",Local comercial en Venta en Normandia,,1 baño,58 m²,
$ 695.000.000,"Antonio Nariño, Zona Sur, Bogotá D.C, Cundinamarca",Casa en Venta en Antonio Nariño,3 habitaciones,3 baños,110 m²,
$ 345.000.000,"Mazuren, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",Local comercial en Venta en Mazuren,,,43 m²,
$ 2.500.000.000,"Cabrero, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Apartamento en Venta en Cabrero,4 habitaciones,"4,5 baños",400 m²,Parqueadero
$ 700.000.000,"Alhambra, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",Apartamento en Venta en Alhambra,4 habitaciones,3 baños,127 m²,Parqueadero
$ 650.000.000,"El Chicó, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Oficina en Venta en El Chicó,,"2,5 baños",82 m²,Parqueadero
$ 2.240.000.000,"Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Apartamento en Venta en Chapinero,4 habitaciones,4 baños,224 m²,Parqueadero
$ 850.000.000,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",Casa en Venta en Barrios Unidos,5 habitaciones,"3,5 baños",176 m²,Parqueadero
$ 1.200.000.000,"Los Rosales, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Apartamento en Venta en Los Rosales,3 habitaciones,3 baños,153 m²,Parqueadero
$ 4.500.000.000,"Los Rosales, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Apartamento en Venta en Los Rosales,4 habitaciones,"4,5 baños",260 m²,
$ 650.000.000,"Chico Norte, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Apartamento en Venta en Chico Norte,3 habitaciones,2 baños,90 m²,Parqueadero
$ 1.100.000.000,"Quinta Camacho, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Oficina en Venta en Quinta Camacho,4 habitaciones,4 baños,140 m²,
$ 460.000.000,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",Oficina en Venta en Suba,,,42 m²,Parqueadero
$ 2.700.000.000,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",Oficina en Venta en Santa Barbara,,1 baño,184 m²,
$ 2.100.000.000,"San Diego, Santa Fe, Zona Centro, Bogotá D.C, Cundinamarca",Oficina en Venta en San Diego,,,525 m²,
$ 2.380.000.000,"San Diego, Santa Fe, Zona Centro, Bogotá D.C, Cundinamarca",Oficina en Venta en San Diego,,,525 m²,
$ 160.000.000,"Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Oficina en Venta en Chapinero,,1 baño,34 m²,
$ 747.000.000,"Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Oficina en Venta en Chapinero,,4 baños,106 m²,
$ 1.600.000.000,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",Oficina en Venta en Barrios Unidos,8 habitaciones,5 baños,450 m²,
$ 570.000.000,"Barrancas, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",Oficina en Venta en Barrancas,,,94 m²,
$ 2.800.000.000,"El Retiro, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Oficina en Venta en El Retiro,,4 baños,204 m²,
$ 799.261.500,"Barrancas, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",Oficina en Venta en Barrancas,,,91 m²,
$ 730.000.000,"El Virrey, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Oficina en Venta en El Virrey,,1 baño,78 m²,
$ 725.000.000,"Barrancas, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",Oficina en Venta en Barrancas,1 habitación,,89 m²,
$ 710.000.000,"El Chicó, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Oficina en Venta en El Chicó,,,59 m²,
$ 1.260.000.000,"Niza, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",Casa en Venta en Niza,5 habitaciones,5 baños,223 m²,Parqueadero
$ 1.100.000.000,"El Chicó, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Oficina en Venta en El Chicó,,1 baño,87 m²,
$ 2.000.000.000,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",Oficina en Venta en Engativa,1 habitación,6 baños,500 m²,
$ 535.295.100,"Normandia, Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",Apartamento en Venta en Normandia,2 habitaciones,2 baños,74 m²,Parqueadero
$ 550.000.000,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",Apartamento en Venta en Fontibón,3 habitaciones,2 baños,,Parqueadero
